//X;Y;Z;Scalar field;Original cloud index;ID;C2C absolute distances;Illuminance (PCV)
4.764100075;-2.696300030;11.812199593;275.000000;0.000000;nan;0.402319;0.915254
5.243000031;-3.023000002;11.889499664;275.000000;0.000000;nan;0.619219;0.889831
4.421199799;-1.994199991;10.989700317;275.000000;0.000000;nan;0.563127;0.944915
5.286300182;-3.533499956;10.956899643;275.000000;0.000000;nan;0.522880;0.855932
3.990200043;-3.005199909;10.783599854;275.000000;0.000000;nan;0.515434;0.830508
4.954299927;-3.615299940;11.422200203;275.000000;0.000000;nan;0.599167;0.889831
3.929199934;-3.269200087;11.317299843;275.000000;0.000000;nan;0.950400;0.919492
3.836499929;-2.140599966;11.404600143;275.000000;0.000000;nan;0.726636;0.868644
4.962999821;-2.603899956;10.776599884;275.000000;0.000000;nan;0.310371;0.864407
3.838999987;-3.119600058;11.215700150;275.000000;0.000000;nan;0.829867;0.872881
3.520600080;-2.841900110;10.831399918;275.000000;0.000000;nan;0.740287;0.885593
5.232600212;-2.191800117;11.970899582;275.000000;0.000000;nan;0.761599;0.855932
4.117599964;-3.171499968;11.550700188;275.000000;0.000000;nan;0.859332;0.919492
3.851500034;-3.014199972;11.023099899;275.000000;0.000000;nan;0.654854;0.847458
4.416999817;-2.272500038;10.706500053;275.000000;0.000000;nan;0.252197;0.851695
3.886800051;-2.845099926;11.116999626;275.000000;0.000000;nan;0.577354;0.805085
4.944099903;-2.247800112;11.823499680;275.000000;0.000000;nan;0.563816;0.898305
5.034100056;-3.293400049;11.185299873;275.000000;0.000000;nan;0.256521;0.809322
4.894800186;-2.290499926;10.799400330;275.000000;0.000000;nan;0.283908;0.885593
3.764400005;-2.418100119;11.347000122;275.000000;0.000000;nan;0.759371;0.860169
4.805099964;-4.004399776;11.024299622;275.000000;0.000000;nan;0.870057;0.927966
5.228499889;-3.988300085;10.636799812;275.000000;0.000000;nan;0.743752;0.915254
5.389599800;-3.785200119;11.376199722;275.000000;0.000000;nan;0.856656;0.872881
4.266499996;-2.571799994;11.822899818;275.000000;0.000000;nan;0.775218;0.898305
5.291900158;-3.789200068;11.442000389;275.000000;0.000000;nan;0.865275;0.894068
5.058499813;-2.753000021;11.715900421;275.000000;0.000000;nan;0.294613;0.860169
4.947400093;-3.423599958;11.459799767;275.000000;0.000000;nan;0.460226;0.851695
4.140600204;-2.609200001;10.975399971;275.000000;0.000000;nan;0.243800;0.851695
4.922200203;-2.147700071;11.808300018;275.000000;0.000000;nan;0.551069;0.864407
4.889400005;-3.386199951;11.335200310;275.000000;0.000000;nan;0.351270;0.877119
4.914400101;-2.483000040;10.718700409;275.000000;0.000000;nan;0.204380;0.868644
3.810800076;-3.238600016;11.303700447;275.000000;0.000000;nan;0.975056;0.919492
3.750200033;-2.488399982;11.443200111;275.000000;0.000000;nan;0.836715;0.898305
5.293200016;-2.364799976;11.559300423;275.000000;0.000000;nan;0.426861;0.872881
4.983099937;-2.983799934;11.678600311;275.000000;0.000000;nan;0.374402;0.860169
5.301199913;-3.472100019;11.704400063;275.000000;0.000000;nan;0.793293;0.923729
4.098599911;-2.509999990;10.914600372;275.000000;0.000000;nan;0.205206;0.843220
3.748899937;-2.106199980;11.108099937;275.000000;0.000000;nan;0.691786;0.894068
5.241099834;-3.945899963;10.814700127;275.000000;0.000000;nan;0.888513;0.915254
4.157800198;-3.160599947;10.949700356;275.000000;0.000000;nan;0.621587;0.868644
5.288400173;-2.572200060;12.138500214;275.000000;0.000000;nan;0.774198;0.902542
3.912699938;-2.628200054;11.296199799;275.000000;0.000000;nan;0.629165;0.838983
4.597099781;-3.702800035;10.909000397;275.000000;0.000000;nan;0.720733;0.877119
3.862699986;-2.963000059;10.927200317;275.000000;0.000000;nan;0.577052;0.800847
3.926100016;-2.154099941;11.329600334;275.000000;0.000000;nan;0.712691;0.855932
5.479400158;-2.520600080;10.972900391;275.000000;0.000000;nan;0.245878;0.902542
3.658299923;-3.017299891;11.171299934;275.000000;0.000000;nan;0.844851;0.843220
4.670000076;-3.954299927;10.850000381;275.000000;0.000000;nan;0.738392;0.906780
3.680099964;-2.856699944;11.352999687;275.000000;0.000000;nan;0.865141;0.906780
3.826900005;-2.773499966;10.989800453;275.000000;0.000000;nan;0.513112;0.826271
3.585799932;-2.799299955;10.960700035;275.000000;0.000000;nan;0.700454;0.847458
5.043700218;-2.198600054;11.895400047;275.000000;0.000000;nan;0.655976;0.885593
4.669099808;-2.864399910;11.749199867;275.000000;0.000000;nan;0.443633;0.868644
3.811899900;-2.305000067;11.220299721;275.000000;0.000000;nan;0.651577;0.906780
3.569000006;-2.852999926;11.088999748;275.000000;0.000000;nan;0.792416;0.847458
4.346300125;-2.036900043;10.791799545;275.000000;0.000000;nan;0.454042;0.872881
3.569600105;-2.399100065;11.259699821;275.000000;0.000000;nan;0.819554;0.889831
4.546199799;-3.995100021;10.935400009;275.000000;0.000000;nan;0.805697;0.940678
4.801599979;-3.532599926;11.167599678;275.000000;0.000000;nan;0.456181;0.826271
4.693900108;-2.779200077;11.906399727;275.000000;0.000000;nan;0.527556;0.877119
4.952199936;-2.816699982;11.512100220;275.000000;0.000000;nan;0.141101;0.838983
4.451700211;-2.023699999;10.737700462;275.000000;0.000000;nan;0.454092;0.889831
4.360899925;-2.925699949;11.671899796;275.000000;0.000000;nan;0.666619;0.881356
4.065700054;-3.019399881;11.116499901;275.000000;0.000000;nan;0.602662;0.822034
4.065899849;-3.036900043;10.985199928;275.000000;0.000000;nan;0.554745;0.792373
4.269999981;-3.038300037;11.245200157;275.000000;0.000000;nan;0.613147;0.877119
3.713999987;-2.909699917;10.858499527;275.000000;0.000000;nan;0.628521;0.855932
4.282599926;-3.165400028;10.967900276;275.000000;0.000000;nan;0.613916;0.872881
3.668999910;-2.426500082;11.281599998;275.000000;0.000000;nan;0.763932;0.877119
4.951200008;-3.837199926;10.886099815;275.000000;0.000000;nan;0.793840;0.830508
5.129799843;-3.669500113;11.604700089;275.000000;0.000000;nan;0.779153;0.927966
4.104499817;-2.682399988;11.495599747;275.000000;0.000000;nan;0.732953;0.906780
5.234499931;-2.049999952;11.800000191;275.000000;0.000000;nan;0.668223;0.868644
5.243800163;-2.466700077;12.155599594;275.000000;0.000000;nan;0.791818;0.919492
3.717900038;-2.205600023;11.175100327;275.000000;0.000000;nan;0.707042;0.881356
4.452199936;-3.064500093;11.762299538;275.000000;0.000000;nan;0.694689;0.889831
5.253900051;-3.197499990;11.324099541;275.000000;0.000000;nan;0.389507;0.855932
5.005599976;-3.293999910;11.299200058;275.000000;0.000000;nan;0.284405;0.813559
5.116099834;-2.118999958;11.984800339;275.000000;0.000000;nan;0.699085;0.898305
4.458199978;-3.127099991;11.645400047;275.000000;0.000000;nan;0.643750;0.881356
4.420000076;-3.022599936;10.846099854;275.000000;0.000000;nan;0.459986;0.868644
4.514100075;-2.643100023;11.935299873;275.000000;0.000000;nan;0.647076;0.894068
5.019199848;-3.452699900;11.319199562;275.000000;0.000000;nan;0.427564;0.838983
3.918299913;-2.380700111;11.493599892;275.000000;0.000000;nan;0.815884;0.911017
3.867399931;-2.515399933;11.282500267;275.000000;0.000000;nan;0.636689;0.834746
4.642700195;-2.529400110;11.674200058;275.000000;0.000000;nan;0.397016;0.847458
5.248899937;-2.441499949;11.738400459;275.000000;0.000000;nan;0.473315;0.855932
4.892000198;-2.767400026;11.582799911;275.000000;0.000000;nan;0.165575;0.860169
5.300600052;-2.792500019;11.914799690;275.000000;0.000000;nan;0.586036;0.877119
3.809000015;-3.144299984;11.427399635;275.000000;0.000000;nan;0.989714;0.906780
4.528500080;-2.938699961;12.101599693;275.000000;0.000000;nan;0.812932;0.940678
5.181799889;-3.461999893;11.543899536;275.000000;0.000000;nan;0.620557;0.868644
5.137800217;-3.407700062;11.382800102;275.000000;0.000000;nan;0.471404;0.813559
4.554699898;-3.301300049;11.671299934;275.000000;0.000000;nan;0.643852;0.902542
4.451700211;-1.979500055;10.846799850;275.000000;0.000000;nan;0.552933;0.885593
3.682600021;-2.539299965;11.262700081;275.000000;0.000000;nan;0.738520;0.838983
5.363599777;-2.864399910;11.644000053;275.000000;0.000000;nan;0.468828;0.843220
5.282899857;-2.783799887;11.652299881;275.000000;0.000000;nan;0.384768;0.826271
3.932600021;-2.171200037;10.956899643;275.000000;0.000000;nan;0.463356;0.860169
5.175399780;-3.081599951;11.690299988;275.000000;0.000000;nan;0.500511;0.885593
4.045199871;-2.748399973;11.220000267;275.000000;0.000000;nan;0.530154;0.868644
5.027900219;-3.111299992;11.715499878;275.000000;0.000000;nan;0.500905;0.864407
3.986900091;-3.205199957;11.495699883;275.000000;0.000000;nan;0.959726;0.902542
4.185200214;-3.255399942;11.515500069;275.000000;0.000000;nan;0.797430;0.894068
4.764100075;-3.507400036;10.994000435;275.000000;0.000000;nan;0.464724;0.877119
3.901900053;-2.911299944;11.036100388;275.000000;0.000000;nan;0.561571;0.834746
4.768700123;-3.884999990;10.698399544;275.000000;0.000000;nan;0.645004;0.889831
4.132999897;-3.195499897;11.095700264;275.000000;0.000000;nan;0.712225;0.855932
4.592400074;-2.399600029;11.659199715;275.000000;0.000000;nan;0.481725;0.885593
4.639999866;-3.804800034;10.953499794;275.000000;0.000000;nan;0.783954;0.885593
3.651999950;-2.108900070;11.212400436;275.000000;0.000000;nan;0.805746;0.894068
4.597000122;-2.837899923;11.883500099;275.000000;0.000000;nan;0.575040;0.881356
4.681799889;-3.157399893;11.533300400;275.000000;0.000000;nan;0.429078;0.851695
5.286699772;-2.661799908;11.963299751;275.000000;0.000000;nan;0.610645;0.894068
4.135399818;-2.762599945;10.946399689;275.000000;0.000000;nan;0.300312;0.864407
3.953299999;-3.175100088;11.351099968;275.000000;0.000000;nan;0.893536;0.902542
3.567100048;-2.478899956;11.074000359;275.000000;0.000000;nan;0.702335;0.885593
4.081699848;-3.099999905;11.471400261;275.000000;0.000000;nan;0.854869;0.868644
5.283100128;-2.999399900;11.612199783;275.000000;0.000000;nan;0.462787;0.855932
5.373799801;-2.193099976;11.902400017;275.000000;0.000000;nan;0.777656;0.855932
4.015699863;-2.606199980;11.522800446;275.000000;0.000000;nan;0.782152;0.881356
3.776599884;-2.235199928;11.385100365;275.000000;0.000000;nan;0.823383;0.889831
4.266200066;-2.614799976;10.977499962;275.000000;0.000000;nan;0.186759;0.860169
5.119800091;-2.544500113;12.004199982;275.000000;0.000000;nan;0.594379;0.898305
4.318799973;-3.017299891;11.877400398;275.000000;0.000000;nan;0.825745;0.898305
3.653399944;-2.432399988;11.415599823;275.000000;0.000000;nan;0.878202;0.889831
4.471499920;-2.916399956;11.866100311;275.000000;0.000000;nan;0.669607;0.911017
3.528700113;-2.528100014;11.179200172;275.000000;0.000000;nan;0.793747;0.847458
5.087900162;-2.969000101;11.906900406;275.000000;0.000000;nan;0.554832;0.894068
5.326700211;-2.600899935;11.833900452;275.000000;0.000000;nan;0.537467;0.885593
5.316899776;-3.040499926;12.060700417;275.000000;0.000000;nan;0.791048;0.936441
4.438199997;-2.846800089;11.633600235;275.000000;0.000000;nan;0.559404;0.868644
5.071199894;-3.399899960;11.457799911;275.000000;0.000000;nan;0.477229;0.851695
4.409500122;-3.250299931;11.468700409;275.000000;0.000000;nan;0.585550;0.885593
3.625499964;-2.175800085;11.356900215;275.000000;0.000000;nan;0.857202;0.919492
5.029799938;-3.565799952;11.290800095;275.000000;0.000000;nan;0.523530;0.877119
4.320899963;-2.879400015;11.399700165;275.000000;0.000000;nan;0.638344;0.851695
4.405600071;-2.582299948;11.894700050;275.000000;0.000000;nan;0.701455;0.915254
4.136099815;-2.701800108;11.131500244;275.000000;0.000000;nan;0.398379;0.860169
3.503799915;-2.128299952;10.763199806;275.000000;0.000000;nan;0.752651;0.906780
5.318500042;-2.080800056;11.713000298;275.000000;0.000000;nan;0.710590;0.847458
4.213399887;-3.194299936;10.800999641;275.000000;0.000000;nan;0.617257;0.851695
4.545800209;-3.793299913;10.875599861;275.000000;0.000000;nan;0.829647;0.877119
3.783200026;-2.078200102;11.198599815;275.000000;0.000000;nan;0.716752;0.855932
4.789299965;-3.652199984;11.017299652;275.000000;0.000000;nan;0.589794;0.834746
3.932300091;-2.236399889;11.442199707;275.000000;0.000000;nan;0.791160;0.898305
4.450200081;-2.248300076;10.806699753;275.000000;0.000000;nan;0.327306;0.868644
3.647000074;-3.034899950;10.942899704;275.000000;0.000000;nan;0.778024;0.855932
5.252299786;-2.776999950;11.775500298;275.000000;0.000000;nan;0.445640;0.877119
4.342199802;-2.777899981;11.773500443;275.000000;0.000000;nan;0.686713;0.847458
5.391699791;-3.747600079;11.216799736;275.000000;0.000000;nan;0.739245;0.847458
4.965400219;-2.767199993;11.786499977;275.000000;0.000000;nan;0.346201;0.877119
4.925300121;-3.589099884;11.040800095;275.000000;0.000000;nan;0.517994;0.817797
4.777999878;-2.709599972;11.389200211;275.000000;0.000000;nan;0.167624;0.868644
5.113699913;-3.699199915;11.485799789;275.000000;0.000000;nan;0.736877;0.911017
4.931700230;-3.482199907;11.172400475;275.000000;0.000000;nan;0.402569;0.860169
5.153999805;-4.021699905;10.711899757;275.000000;0.000000;nan;0.734562;0.889831
3.773099899;-3.052999973;11.365699768;275.000000;0.000000;nan;0.912326;0.860169
5.293300152;-2.595400095;12.584099770;275.000000;0.000000;nan;0.752913;0.953390
4.388700008;-3.144999981;11.036399841;275.000000;0.000000;nan;0.503818;0.860169
3.815099955;-2.840800047;11.350600243;275.000000;0.000000;nan;0.779683;0.872881
4.480899811;-2.674999952;11.789099693;275.000000;0.000000;nan;0.571084;0.868644
4.397600174;-3.161200047;11.316599846;275.000000;0.000000;nan;0.510912;0.860169
3.994600058;-2.602400064;11.383600235;275.000000;0.000000;nan;0.666802;0.843220
4.671500206;-2.610300064;11.412199974;275.000000;0.000000;nan;0.264437;0.894068
4.785699844;-2.586100101;11.415200233;275.000000;0.000000;nan;0.162544;0.898305
3.697900057;-2.707499981;10.998800278;275.000000;0.000000;nan;0.589732;0.800847
4.991300106;-3.811399937;11.145500183;275.000000;0.000000;nan;0.735988;0.881356
4.059500217;-2.455800056;10.809499741;275.000000;0.000000;nan;0.153336;0.902542
4.425099850;-2.499000072;11.454099655;275.000000;0.000000;nan;0.530367;0.906780
4.553899765;-2.818200111;11.659399986;275.000000;0.000000;nan;0.460228;0.855932
4.384799957;-2.143599987;10.747799873;275.000000;0.000000;nan;0.352503;0.881356
3.553699970;-2.925100088;11.500599861;275.000000;0.000000;nan;1.071028;0.936441
3.611599922;-2.425899982;10.847800255;275.000000;0.000000;nan;0.575095;0.843220
5.353899956;-2.347100019;11.934300423;275.000000;0.000000;nan;0.708127;0.838983
5.230100155;-4.048900127;10.809000015;275.000000;0.000000;nan;0.834110;0.894068
3.701100111;-2.625299931;11.428799629;275.000000;0.000000;nan;0.855715;0.889831
3.931699991;-2.416199923;11.612400055;275.000000;0.000000;nan;0.911601;0.936441
4.660699844;-2.630399942;11.798800468;275.000000;0.000000;nan;0.449708;0.881356
4.562300205;-2.631200075;11.723500252;275.000000;0.000000;nan;0.468548;0.838983
4.591100216;-3.327899933;11.476599693;275.000000;0.000000;nan;0.492944;0.872881
3.917399883;-2.901700020;10.588700294;275.000000;0.000000;nan;0.481683;0.860169
3.995199919;-2.785300016;11.458999634;275.000000;0.000000;nan;0.762386;0.877119
3.634000063;-2.382200003;11.092499733;275.000000;0.000000;nan;0.667102;0.855932
5.395299911;-3.045000076;11.775300026;275.000000;0.000000;nan;0.640273;0.868644
4.471600056;-2.586100101;11.418499947;275.000000;0.000000;nan;0.465028;0.826271
5.021599770;-2.077899933;11.899900436;275.000000;0.000000;nan;0.577633;0.889831
5.225599766;-2.855799913;11.875800133;275.000000;0.000000;nan;0.530158;0.889831
5.142600060;-2.948600054;11.717700005;275.000000;0.000000;nan;0.412496;0.860169
5.101500034;-2.789599895;11.868200302;275.000000;0.000000;nan;0.456962;0.860169
3.895800114;-2.784100056;11.217300415;275.000000;0.000000;nan;0.614296;0.783898
3.931900024;-2.297100067;11.559700012;275.000000;0.000000;nan;0.866386;0.894068
4.674200058;-2.410399914;11.573399544;275.000000;0.000000;nan;0.382658;0.885593
5.071000099;-3.611200094;11.162899971;275.000000;0.000000;nan;0.561017;0.847458
4.804200172;-3.604899883;11.266500473;275.000000;0.000000;nan;0.538094;0.868644
5.195199966;-2.579499960;12.070400238;275.000000;0.000000;nan;0.674323;0.881356
3.620800018;-2.291300058;11.303500175;275.000000;0.000000;nan;0.833495;0.889831
5.342599869;-2.947700024;11.738499641;275.000000;0.000000;nan;0.536122;0.838983
3.557199955;-2.658600092;11.393600464;275.000000;0.000000;nan;0.928989;0.915254
4.731500149;-2.607800007;11.553999901;275.000000;0.000000;nan;0.238518;0.868644
5.145699978;-3.874900103;10.801500320;275.000000;0.000000;nan;0.858628;0.902542
4.052700043;-2.349499941;11.458999634;275.000000;0.000000;nan;0.742338;0.860169
3.598599911;-2.640500069;11.178500175;275.000000;0.000000;nan;0.751572;0.813559
3.737699986;-2.299400091;11.144100189;275.000000;0.000000;nan;0.641531;0.830508
3.919100046;-3.049499989;11.189200401;275.000000;0.000000;nan;0.731072;0.826271
5.488999844;-2.578399897;10.831500053;275.000000;0.000000;nan;0.267823;0.885593
4.814199924;-2.433700085;10.713500023;275.000000;0.000000;nan;0.197913;0.847458
4.968599796;-3.315700054;11.454899788;275.000000;0.000000;nan;0.387825;0.843220
4.110300064;-3.010200024;11.232999802;275.000000;0.000000;nan;0.648100;0.872881
5.378399849;-3.195199966;11.964099884;275.000000;0.000000;nan;0.829271;0.927966
5.402599812;-3.165400028;11.666399956;275.000000;0.000000;nan;0.671011;0.872881
5.248199940;-3.125400066;12.057999611;275.000000;0.000000;nan;0.803443;0.936441
4.671299934;-2.328299999;11.837400436;275.000000;0.000000;nan;0.582166;0.877119
4.361400127;-2.860699892;12.034799576;275.000000;0.000000;nan;0.842413;0.944915
3.577300072;-2.996799946;11.110600471;275.000000;0.000000;nan;0.863601;0.889831
4.975900173;-3.139199972;11.538299561;275.000000;0.000000;nan;0.396376;0.868644
5.015500069;-2.078599930;11.742799759;275.000000;0.000000;nan;0.521676;0.894068
4.507199764;-2.383300066;11.960700035;275.000000;0.000000;nan;0.728634;0.911017
3.687799931;-2.620899916;11.559800148;275.000000;0.000000;nan;0.969240;0.919492
4.327300072;-2.655200005;11.822299957;275.000000;0.000000;nan;0.717586;0.877119
4.252699852;-3.052700043;11.386500359;275.000000;0.000000;nan;0.665372;0.868644
4.684899807;-2.489399910;11.765399933;275.000000;0.000000;nan;0.444468;0.872881
3.910200119;-2.641000032;11.569299698;275.000000;0.000000;nan;0.872109;0.906780
5.149199963;-3.489399910;11.197500229;275.000000;0.000000;nan;0.476073;0.864407
4.585400105;-3.202399969;11.709099770;275.000000;0.000000;nan;0.634384;0.911017
4.818600178;-2.527199984;10.759499550;275.000000;0.000000;nan;0.270675;0.838983
5.043000221;-2.847300053;11.548000336;275.000000;0.000000;nan;0.197823;0.838983
4.080399990;-3.112999916;11.345199585;275.000000;0.000000;nan;0.801719;0.855932
4.199299812;-2.638499975;10.890800476;275.000000;0.000000;nan;0.165375;0.894068
5.245800018;-2.148299932;11.691100121;275.000000;0.000000;nan;0.620263;0.817797
4.720200062;-3.801300049;10.835399628;275.000000;0.000000;nan;0.797952;0.860169
3.735899925;-2.375099897;11.607299805;275.000000;0.000000;nan;0.996277;0.944915
4.455200195;-3.270299911;11.724300385;275.000000;0.000000;nan;0.730187;0.927966
4.512000084;-2.524899960;11.340600014;275.000000;0.000000;nan;0.448843;0.864407
5.156799793;-2.765799999;12.061499596;275.000000;0.000000;nan;0.651217;0.898305
4.725399971;-2.759500027;12.041399956;275.000000;0.000000;nan;0.633126;0.953390
5.269100189;-4.027500153;11.419899940;275.000000;0.000000;nan;1.055652;0.932203
5.326399803;-3.558599949;11.088500023;275.000000;0.000000;nan;0.558892;0.838983
3.974299908;-2.485100031;11.519200325;275.000000;0.000000;nan;0.800398;0.881356
4.815999985;-2.024499893;10.754899979;275.000000;0.000000;nan;0.436102;0.894068
3.640000105;-2.720400095;11.430299759;275.000000;0.000000;nan;0.908753;0.906780
5.425499916;-3.629400015;11.418800354;275.000000;0.000000;nan;0.767142;0.868644
4.570700169;-2.107199907;10.802900314;275.000000;0.000000;nan;0.479210;0.877119
3.644599915;-2.951800108;11.248299599;275.000000;0.000000;nan;0.861412;0.927966
5.019599915;-3.719199896;10.928400040;275.000000;0.000000;nan;0.668920;0.855932
4.432700157;-3.257400036;11.265899658;275.000000;0.000000;nan;0.489377;0.847458
4.574100018;-2.299799919;11.981200218;275.000000;0.000000;nan;0.727186;0.949153
4.352099895;-2.105400085;10.880200386;275.000000;0.000000;nan;0.446773;0.894068
4.718999863;-3.717700005;10.898900032;275.000000;0.000000;nan;0.699123;0.843220
5.280000210;-2.317399979;11.651100159;275.000000;0.000000;nan;0.502115;0.894068
5.471099854;-3.237200022;10.911100388;275.000000;0.000000;nan;0.181551;0.860169
3.594000101;-2.207200050;11.176699638;275.000000;0.000000;nan;0.791888;0.872881
5.005000114;-2.434299946;10.781499863;275.000000;0.000000;nan;0.247619;0.864407
3.839699984;-2.226200104;11.119199753;275.000000;0.000000;nan;0.587237;0.843220
4.965799809;-3.549499989;10.944199562;275.000000;0.000000;nan;0.499994;0.822034
4.235099792;-3.277499914;11.427499771;275.000000;0.000000;nan;0.722758;0.864407
5.395299911;-2.052599907;11.875699997;275.000000;0.000000;nan;0.820625;0.843220
4.367599964;-2.061300039;10.689399719;275.000000;0.000000;nan;0.382537;0.830508
4.425899982;-2.806900024;11.883399963;275.000000;0.000000;nan;0.684385;0.864407
4.785099983;-2.822499990;11.827400208;275.000000;0.000000;nan;0.431494;0.889831
4.875100136;-3.591300011;11.520299911;275.000000;0.000000;nan;0.624022;0.927966
4.300399780;-3.040400028;10.864100456;275.000000;0.000000;nan;0.466448;0.847458
3.696300030;-2.945600033;11.476200104;275.000000;0.000000;nan;0.978277;0.911017
5.097599983;-3.370599985;11.279299736;275.000000;0.000000;nan;0.377799;0.838983
4.852399826;-2.738699913;12.010299683;275.000000;0.000000;nan;0.568379;0.894068
4.660299778;-3.467600107;11.022000313;275.000000;0.000000;nan;0.459421;0.898305
4.881400108;-3.963399887;10.691699982;275.000000;0.000000;nan;0.625227;0.864407
5.380000114;-2.569099903;12.054900169;275.000000;0.000000;nan;0.747277;0.881356
4.789299965;-2.766999960;11.602000237;275.000000;0.000000;nan;0.230962;0.860169
