//X;Y;Z;R;G;B;Illuminance (PCV);Nx;Ny;Nz
-29.679988861;15.093166351;15.277688980;255;255;255;1;0.999999;0.000978;0.000978
-29.141410828;16.039522171;15.113975525;255;255;255;1;0.000000;0.000000;0.000000
-32.780975342;22.203220367;16.949905396;255;255;255;1;0.707106;0.707106;0.001384
-36.080036163;22.482366562;13.586673737;255;255;255;1;0.000978;0.999999;0.000978
-31.907026291;22.723197937;11.793293953;255;255;255;1;0.000000;0.000000;0.000000
-27.252849579;18.530426025;9.714685440;255;255;255;1;0.000000;0.000000;0.000000
-27.940391541;15.988395691;11.314723015;255;255;255;1;0.000000;0.000000;0.000000
-29.627273560;15.838932991;15.003229141;255;255;255;1;0.000000;0.000000;0.000000
-30.329174042;18.276962280;9.244147301;255;255;255;1;0.000978;0.999999;0.000978
-31.151941299;22.384170532;12.457277298;255;255;255;1;0.000000;0.000000;0.000000
-32.418392181;19.002567291;15.269849777;255;255;255;1;0.000000;0.000000;0.000000
-37.659721375;16.524324417;11.797876358;255;255;255;1;0.000978;0.999999;0.000978
-30.842315674;20.791812897;16.446428299;255;255;255;1;0.000000;0.000000;0.000000
-35.558532715;18.254516602;8.439105988;255;255;255;1;0.000000;0.000000;0.000000
-27.416791916;18.618507385;9.559103966;255;255;255;1;0.000000;0.000000;0.000000
-37.407032013;19.901594162;14.162141800;255;255;255;1;0.000978;0.999999;0.000978
-25.873706818;19.312892914;12.736870766;255;255;255;1;0.000000;0.000000;0.000000
-36.787036896;16.406068802;11.773256302;255;255;255;1;0.000978;0.999999;0.000978
-32.258987427;20.594781876;8.787088394;255;255;255;1;0.000000;0.000000;0.000000
-27.860698700;18.721080780;8.905065536;255;255;255;1;0.000000;0.000000;0.000000
-32.978931427;19.029628754;12.428648949;255;255;255;1;0.999999;0.000978;0.000978
-29.557271957;15.513844490;14.471573830;255;255;255;1;0.000000;0.000000;0.000000
-35.631546021;16.507843018;12.454225540;255;255;255;1;0.000978;0.999999;0.000978
-32.787761688;19.619735718;14.271369934;255;255;255;1;0.000000;0.000000;0.000000
-34.267192841;18.262792587;10.498266220;255;255;255;1;0.000000;0.000000;0.000000
-33.818172455;15.182253838;11.221757889;255;255;255;1;0.000978;0.999999;0.000978
-26.772026062;15.610937119;9.915386200;255;255;255;1;0.000000;0.000000;0.000000
-32.373809814;20.131990433;12.848361015;255;255;255;1;0.999999;0.000978;0.000978
-29.768779755;14.754817963;12.759816170;255;255;255;1;0.000978;0.999999;0.000978
-26.343669891;21.027603149;15.644614220;255;255;255;1;0.000000;0.000000;0.000000
-35.135990143;19.143108368;12.799444199;255;255;255;1;0.000000;0.000000;0.000000
-36.991317749;19.020471573;12.284606934;255;255;255;1;0.000978;0.999999;0.000978
-31.799249649;23.327951431;9.261653900;255;255;255;1;0.999999;0.000978;0.000978
-39.318744659;18.545061111;9.883034706;255;255;255;1;0.000978;0.999999;0.000978
-34.695156097;15.358020782;11.360188484;255;255;255;1;0.000000;0.000000;0.000000
-37.490909576;18.448358536;10.419202805;255;255;255;1;0.999999;0.000978;0.000978
-25.776525497;21.989465714;15.489893913;255;255;255;1;0.000000;0.000000;0.000000
-29.825153351;14.091415405;9.799077988;255;255;255;1;0.000978;0.999999;0.000978
-33.463893890;15.906303406;11.197022438;255;255;255;1;0.000978;0.999999;0.000978
-27.237766266;18.333847046;9.423912048;255;255;255;1;0.000000;0.000000;0.000000
-37.714138031;18.584596634;8.998215675;255;255;255;1;0.000000;0.000000;0.000000
-31.829969406;20.066442490;9.133374214;255;255;255;1;0.000000;0.000000;0.000000
-38.620403290;17.528354645;10.502997398;255;255;255;1;0.000978;0.999999;0.000978
-24.904161453;18.230674744;15.046907425;255;255;255;1;0.999999;0.000978;0.000978
-23.466297150;17.233156204;13.537012100;255;255;255;1;0.000000;0.000000;0.000000
-37.526809692;16.959007263;9.960150719;255;255;255;1;0.000978;0.999999;0.000978
-32.086044312;21.452491760;9.733918190;255;255;255;1;0.000000;0.000000;0.000000
-32.371028900;18.878601074;10.688144684;255;255;255;1;0.000978;0.999999;0.000978
-30.060079575;16.260158539;16.274305344;255;255;255;1;0.999999;0.000978;0.000978
-36.013599396;21.500143051;14.059487343;255;255;255;1;0.000000;0.000000;0.000000
-26.837444305;15.973272324;10.236218452;255;255;255;1;0.000000;0.000000;0.000000
-30.079017639;15.205520630;9.716885567;255;255;255;1;0.000000;0.000000;0.000000
-28.776729584;18.221414566;11.491087914;255;255;255;1;0.000000;0.000000;0.000000
-26.117046356;16.125049591;10.812626839;255;255;255;1;0.000000;0.000000;0.000000
-34.883365631;16.245494843;9.803593636;255;255;255;1;0.000000;0.000000;0.000000
-35.071182251;14.437986374;10.337341309;255;255;255;1;0.000978;0.999999;0.000978
-25.350948334;20.085727692;14.107048988;255;255;255;1;0.000000;0.000000;0.000000
-35.412910461;18.912563324;11.319259644;255;255;255;1;0.000000;0.000000;0.000000
-30.875577927;23.549945831;9.365154266;255;255;255;1;0.000000;0.000000;0.000000
-31.383731842;20.490268707;16.854990005;255;255;255;1;0.999999;0.000978;0.000978
-31.776721954;18.217830658;8.342451096;255;255;255;1;0.000978;0.999999;0.000978
-29.996158600;22.325275421;16.473972321;255;255;255;1;0.999999;0.000978;0.000978
-34.849979401;15.021018982;11.411596298;255;255;255;1;0.000978;0.999999;0.000978
-30.516319275;22.403982162;8.375827789;255;255;255;1;0.000000;0.000000;0.000000
-29.141111374;14.285278320;9.344251633;255;255;255;1;0.000978;0.999999;0.000978
-36.835308075;19.391963959;14.253722191;255;255;255;1;0.000978;0.999999;0.000978
-39.843757629;18.543386459;11.092207909;255;255;255;1;0.000978;0.999999;0.000978
-27.898004532;19.620195389;17.118574142;255;255;255;1;0.000000;0.000000;0.000000
-35.473991394;18.405048370;8.410281181;255;255;255;1;0.000000;0.000000;0.000000
-31.797206879;20.487751007;8.213923454;255;255;255;1;0.000000;0.000000;0.000000
-27.705898285;18.578111649;9.031142235;255;255;255;1;0.000000;0.000000;0.000000
-29.148670197;18.266628265;17.851659775;255;255;255;1;0.894688;0.446689;0.001310
-30.921955109;20.714649200;9.865215302;255;255;255;1;0.999999;0.000978;0.000978
-30.959836960;24.137962341;9.816652298;255;255;255;1;0.000000;0.000000;0.000000
-36.322185516;16.315559387;9.698416710;255;255;255;1;0.000978;0.999999;0.000978
-27.811473846;21.757768631;9.857649803;255;255;255;1;0.000000;0.000000;0.000000
-39.834461212;18.063793182;11.117509842;255;255;255;1;0.000978;0.999999;0.000978
-34.625850677;15.100971222;11.282935143;255;255;255;1;0.000978;0.999999;0.000978
-35.067581177;19.100067139;14.032234192;255;255;255;1;0.999999;0.000978;0.000978
-38.030525208;16.835880280;11.655914307;255;255;255;1;0.000978;0.999999;0.000978
-36.244041443;18.754100800;13.270678520;255;255;255;1;0.000000;0.000000;0.000000
-26.509122849;21.676153183;15.274895668;255;255;255;1;0.000000;0.000000;0.000000
-27.666151047;18.142263412;9.801446915;255;255;255;1;0.000000;0.000000;0.000000
-33.139328003;16.530395508;6.513512611;255;255;255;1;0.000978;0.999999;0.000978
-32.883613586;18.325977325;8.216876984;255;255;255;1;0.000000;0.000000;0.000000
-35.468826294;17.615032196;14.723442078;255;255;255;1;0.000978;0.999999;0.000978
-29.782758713;18.771553040;11.928338051;255;255;255;1;0.000000;0.000000;0.000000
-29.359828949;18.795410156;14.702309608;255;255;255;1;0.000000;0.000000;0.000000
-38.174758911;16.625328064;10.740985870;255;255;255;1;0.000978;0.999999;0.000978
-29.075603485;19.566570282;16.691783905;255;255;255;1;0.000000;0.000000;0.000000
-34.344341278;18.123100281;9.534684181;255;255;255;1;0.999999;0.000978;0.000978
-26.885660172;17.965520859;13.981842041;255;255;255;1;0.000000;0.000000;0.000000
-31.554370880;20.696058273;11.193098068;255;255;255;1;0.999999;0.000978;0.000978
-30.002241135;23.823671341;10.465167046;255;255;255;1;0.999999;0.000978;0.000978
-24.244125366;16.538702011;13.981713295;255;255;255;1;0.000000;0.000000;0.000000
-32.283500671;21.762550354;9.697527885;255;255;255;1;0.000000;0.000000;0.000000
-30.177602768;19.071455002;17.259614944;255;255;255;1;0.999999;0.000978;0.000978
-27.627403259;19.641399384;16.718574524;255;255;255;1;0.000000;0.000000;0.000000
-32.062053680;22.769660950;11.795873642;255;255;255;1;0.000000;0.000000;0.000000
-23.718410492;17.595653534;15.199131966;255;255;255;1;0.999999;0.000978;0.000978
-32.333690643;16.130573273;8.913902283;255;255;255;1;0.000000;0.000000;0.000000
-27.889059067;20.794027328;9.305263519;255;255;255;1;0.000000;0.000000;0.000000
-32.221405029;20.542478561;16.576942444;255;255;255;1;0.999999;0.000978;0.000978
-25.625427246;20.155261993;14.260665894;255;255;255;1;0.000000;0.000000;0.000000
-29.994344711;16.206531525;14.837538719;255;255;255;1;0.999999;0.000978;0.000978
-28.181509018;21.655014038;9.649360657;255;255;255;1;0.000000;0.000000;0.000000
-31.906263351;25.045383453;14.315374374;255;255;255;1;0.000978;0.999999;0.000978
-30.653408051;22.385080338;8.111383438;255;255;255;1;0.000000;0.000000;0.000000
-28.474868774;18.193704605;12.622922897;255;255;255;1;0.999999;0.000978;0.000978
-27.279912949;22.863117218;10.518459320;255;255;255;1;0.000978;0.999999;0.000978
-35.398506165;18.681934357;12.587459564;255;255;255;1;0.000000;0.000000;0.000000
-30.154045105;15.343482971;17.109380722;255;255;255;1;0.999999;0.000978;0.000978
-26.191696167;21.759277344;16.372200012;255;255;255;1;0.000000;0.000000;0.000000
-38.539554596;19.829948425;14.039412498;255;255;255;1;0.000978;0.999999;0.000978
-22.789697647;17.617162704;14.012496948;255;255;255;1;0.999999;0.000978;0.000978
-31.688653946;22.294431686;9.606582642;255;255;255;1;0.000000;0.000000;0.000000
-32.831172943;15.540504456;7.119093418;255;255;255;1;0.000978;0.999999;0.000978
-29.862722397;17.245536804;17.630758286;255;255;255;1;0.894688;0.446689;0.001310
-31.282463074;23.983306885;8.854039192;255;255;255;1;0.000000;0.000000;0.000000
-34.060455322;20.089763641;16.046302795;255;255;255;1;0.000000;0.000000;0.000000
-29.995655060;23.811239243;10.268815041;255;255;255;1;0.000000;0.000000;0.000000
-26.160636902;19.453029633;13.418148041;255;255;255;1;0.000000;0.000000;0.000000
-38.985229492;20.785318375;13.865173340;255;255;255;1;0.000978;0.999999;0.000978
-32.544696808;13.726776123;12.135949135;255;255;255;1;0.000978;0.999999;0.000978
-31.986480713;23.069297791;11.554557800;255;255;255;1;0.000000;0.000000;0.000000
-25.657922745;20.844114304;14.145318031;255;255;255;1;0.999999;0.000978;0.000978
-32.435569763;21.123321533;14.706830025;255;255;255;1;0.999999;0.000978;0.000978
-32.130851746;24.537294388;13.763153076;255;255;255;1;0.000000;0.000000;0.000000
-25.590698242;21.586915970;15.667628288;255;255;255;1;0.000000;0.000000;0.000000
